,train_loss,train_rse,train_mae,train_mse,train_mape,train_rmse,val_loss,val_rse,val_mae,val_mse,val_mape,val_rmse
0,0.001416,0.302201,0.019071,0.001416,154406.169624,0.03597,0.003248,0.291143,0.01304,0.003248,101163.787684,0.044815
1,0.000884,0.185146,0.011848,0.000884,73390.188659,0.028991,0.003103,0.263322,0.007287,0.003103,27871.333869,0.042582
2,0.000826,0.173649,0.010499,0.000826,57351.141916,0.028032,0.00311,0.264179,0.007592,0.00311,31414.535846,0.042644
3,0.000794,0.167476,0.009541,0.000794,45083.319584,0.027475,0.003092,0.260827,0.007114,0.003092,30999.464269,0.042362
4,0.000789,0.166074,0.009552,0.000789,45660.720968,0.027393,0.00309,0.259265,0.006398,0.00309,18697.988683,0.042225
5,0.000771,0.160945,0.008849,0.000771,36416.339778,0.026996,0.003095,0.260896,0.007187,0.003095,31208.26574,0.042361
6,0.000773,0.162018,0.008879,0.000773,36760.745779,0.027057,0.003095,0.261266,0.00894,0.003095,63757.71852,0.042397
7,0.000766,0.160906,0.008865,0.000766,38016.563311,0.026952,0.003063,0.257957,0.006906,0.003063,26124.941521,0.042115
8,0.000758,0.157492,0.008298,0.000758,29281.588122,0.026669,0.003057,0.258186,0.006966,0.003057,26723.079963,0.042134
9,0.000756,0.158511,0.008216,0.000756,28205.729054,0.026707,0.003057,0.256341,0.005951,0.003057,13784.046818,0.041978
10,0.000756,0.157723,0.008167,0.000756,27648.517661,0.026695,0.003046,0.255666,0.006513,0.003046,23678.005055,0.041916
11,0.000756,0.159,0.00815,0.000756,27177.548232,0.026788,0.003053,0.256203,0.006753,0.003053,29239.738511,0.041965
12,0.000756,0.159134,0.008226,0.000756,28981.646832,0.026752,0.003066,0.258684,0.007538,0.003066,36762.36489,0.042177
13,0.000757,0.158437,0.008288,0.000757,30092.597789,0.026758,0.003054,0.256708,0.005897,0.003054,11555.088293,0.042015
14,0.000757,0.158029,0.008243,0.000757,29330.153171,0.026734,0.00305,0.25774,0.007648,0.00305,37787.908088,0.042095
15,0.000756,0.158835,0.008079,0.000756,26685.054431,0.026757,0.003033,0.254507,0.006952,0.003033,33489.560547,0.041817
16,0.00076,0.158877,0.008265,0.00076,29092.453299,0.026798,0.003032,0.254295,0.005836,0.003032,12853.842142,0.0418
17,0.000755,0.158064,0.007849,0.000755,22722.353408,0.026708,0.003066,0.258817,0.007339,0.003066,38933.310087,0.042197
18,0.000755,0.158959,0.008013,0.000755,25657.31466,0.026772,0.003025,0.253749,0.006085,0.003025,17492.765568,0.041752
19,0.000756,0.158738,0.007948,0.000756,25212.723914,0.02673,0.003049,0.256981,0.006332,0.003049,20294.002528,0.042043
20,0.000756,0.158675,0.008097,0.000756,27089.724899,0.026764,0.003045,0.256688,0.006889,0.003045,26330.003332,0.042004
21,0.000759,0.159261,0.008139,0.000759,27419.48464,0.026776,0.003046,0.256699,0.006794,0.003046,23296.862707,0.042008
22,0.000754,0.157389,0.00791,0.000754,24193.513986,0.026634,0.003035,0.254944,0.005933,0.003035,13662.816636,0.041859
23,0.000759,0.157505,0.008011,0.000759,25311.888482,0.026711,0.003043,0.256532,0.007908,0.003043,49962.594669,0.041998
24,0.000757,0.15912,0.00796,0.000757,25071.735666,0.026749,0.003016,0.253256,0.006225,0.003016,19588.277229,0.041712
25,0.000757,0.15937,0.008046,0.000757,26195.956353,0.026763,0.003036,0.255313,0.006511,0.003036,26498.439798,0.041894
